1218695330	20240104	202401	2024	2024.0110											GRC	GREECE	GRC								0	080	080	08	2	5.0	3	1	3	-4.70366886171214	0								4	Chalcis, Perifereia Stereas Elladas, Greece	GR	GR63	16719	38.4636	23.5994	-820141	4	Chalcis, Perifereia Stereas Elladas, Greece	GR	GR63	16719	38.4636	23.5994	-820141	20250103131500	https://timesofindia.indiatimes.com/world/7-famous-historical-figures-who-lived-in-exile/articleshow/116917039.cms
1218695331	20240104	202401	2024	2024.0110											GRC	GREECE	GRC								0	080	080	08	2	5.0	1	1	1	-4.70366886171214	0								1	Macedonia	MK	MK		41.833333	22	MK	1	Macedonia	MK	MK		41.833333	22	MK	20250103131500	https://timesofindia.indiatimes.com/world/7-famous-historical-figures-who-lived-in-exile/articleshow/116917039.cms
1218695332	20240104	202401	2024	2024.0110											MOS	IMAM				MOS					0	040	040	04	1	1.0	8	1	8	-4.35356200527704	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250103131500	https://news4sanantonio.com/news/nation-world/whats-known-about-the-new-orleans-attacker-so-far-shamsud-din-jabbar-bourbon-street-terrorist-attack-islamic-state-isis-fbi-investigation
1218695333	20240104	202401	2024	2024.0110											USAMED	REUTERS	USA					MED			1	042	042	04	1	1.9	5	1	5	-2.05607476635514	0								4	Pantanal, Estado de Mato Grosso, Brazil	BR	BR14	40202	-16.35	-56.6667	-659091	4	Pantanal, Estado de Mato Grosso, Brazil	BR	BR14	40202	-16.35	-56.6667	-659091	20250103131500	https://www.yahoo.com/news/data-shows-encouraging-drop-damaging-104534353.html
1218695334	20240104	202401	2024	2024.0110	CAN	CANADIAN	CAN																		1	071	071	07	2	7.4	10	1	10	0.94966761633428	4	Chalk River, Ontario, Canada	CA	CA08	12778	46.0167	-77.45	-562374	0								4	Chalk River, Ontario, Canada	CA	CA08	12778	46.0167	-77.45	-562374	20250103131500	https://www.stcatharinesstandard.ca/opinion/contributors/hope-does-not-end-jimmy-carter-s-death-at-100-his-hospice-care-choice-and/article_26104b37-0f95-5755-be4c-f85d28da72c5.html
1218695335	20240104	202401	2024	2024.0110	CHN	CHINA	CHN								SPY	INTELLIGENCE						SPY			0	042	042	04	1	1.9	10	1	10	-1.64705882352941	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250103131500	https://www.nbcnewyork.com/news/business/money-report/foreign-phone-sales-plunge-47-in-china-spelling-trouble-for-apple/6092819/
1218695336	20240104	202401	2024	2024.0110	CHR	CHRISTIAN				CHR															1	070	070	07	2	7.0	10	1	10	7.56302521008404	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20250103131500	https://patriotpost.us/opinion/113217-a-generous-faith-2025-01-03
1218695337	20240104	202401	2024	2024.0110	EDU	COLLEGE						EDU			IND	DELHI	IND								1	040	040	04	1	1.0	1	1	1	-0.35618878005343	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20250103131500	https://organiser.org/2025/01/03/271997/bharat/those-in-power-in-delhi-for-last-10-yrs-damaged-school-education-pm-modi-attacks-aap-govt-in-delhi/
1218695338	20240104	202401	2024	2024.0110	EDU	COLLEGE						EDU			THA	THAI	THA								1	051	051	05	1	3.4	10	1	10	-0.397614314115311	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20250103131500	https://www.dailymail.co.uk/news/article-14247081/Student-Cambridge-took-life-worrying-good-grades.html
1218695339	20240104	202401	2024	2024.0110	GBR	UNITED KINGDOM	GBR								GOVHLH	HEALTH MINIST						GOV	HLH		0	036	036	03	1	4.0	2	1	2	-1.59118727050184	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	20250103131500	https://www.bbc.com/news/articles/cg4z9zvnlplo
