1214579776	20231210	202312	2023	2023.9315	BUS	BUSINESS						BUS													0	012	012	01	1	-0.4	2	1	2	-0.46296296296296	2	Alaska, United States	US	USAK		61.385	-152.268	AK	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	20241209154500	https://www.newsminer.com/a-new-century-brings-a-new-era-marriott-hotel-construction/article_777982bc-b5ce-11ef-9524-03a1db2d589e.html
1214579777	20231210	202312	2023	2023.9315	USA	UNITED STATES	USA								JUD	HIGH COURT						JUD			0	051	051	05	1	3.4	4	1	4	-2.19298245614035	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20241209154500	https://www.yahoo.com/news/supreme-court-rejects-appeal-boston-152714582.html
1214579778	20231210	202312	2023	2023.9315	USA	UNITED STATES	USA								JUD	ATTORNEY						JUD			1	173	173	17	4	-5.0	8	1	8	-17.1698113207547	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20241209154500	https://www.yahoo.com/news/ysl-rico-case-prosecutors-seek-110939430.html
1214579779	20231210	202312	2023	2023.9315	USA	UNITED STATES	USA								USAGOV	NASA	USA					GOV			1	120	120	12	3	-4.0	2	1	2	-2.19922380336352	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20241209154500	https://eos.org/articles/seismometers-track-atmospheric-shock-waves-from-incoming-space-debris
1214579780	20231210	202312	2023	2023.9315	USA	UNITED STATES	USA								USAGOV	NASA	USA					GOV			1	120	120	12	3	-4.0	2	1	2	-2.19922380336352	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	2	Utah, United States	US	USUT		40.1135	-111.854	UT	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20241209154500	https://eos.org/articles/seismometers-track-atmospheric-shock-waves-from-incoming-space-debris
1214579781	20241109	202411	2024	2024.8466	AUS	AUSTRALIAN	AUS								MED	MEDIA						MED			1	172	172	17	4	-5.0	4	1	4	-2.02247191011236	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20241209154500	https://www.courthousenews.com/outsourcing-2/
1214579782	20241109	202411	2024	2024.8466	AUSLEG	AUSTRALIAN	AUS					LEG			MED	MEDIA						MED			1	172	172	17	4	-5.0	6	1	6	-2.02247191011236	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20241209154500	https://www.courthousenews.com/outsourcing-2/
1214579783	20241109	202411	2024	2024.8466	GOV	HOME MINIST						GOV			IND	MANIPUR	IND								0	0831	083	08	2	5.0	10	1	10	-2.63488080301129	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20241209154500	https://www.latestly.com/agency-news/india-news-india-bloc-leaders-hold-protest-on-manipur-issue-say-pm-should-urgently-visit-the-state-6478524.html
1214579784	20241202	202412	2024	2024.9096	BUS	CONGLOMERATE						BUS													0	020	020	02	1	3.0	10	1	10	-1.39372822299652	4	Jaipur, Rajasthan, India	IN	IN24	17847	26.9167	75.8167	-2098033	0								4	Jaipur, Rajasthan, India	IN	IN24	17847	26.9167	75.8167	-2098033	20241209154500	https://www.bnnbloomberg.ca/business/international/2024/12/09/gautam-adani-flanks-modi-as-group-announces-big-investment-plans/
1214579785	20241202	202412	2024	2024.9096	CVL	CITIZEN						CVL													0	172	172	17	4	-5.0	3	1	3	-0.95541401273885	4	Westlock, Alberta, Canada	CA	CA01	154724	54.15	-113.867	-575786	0								4	Westlock, Alberta, Canada	CA	CA01	154724	54.15	-113.867	-575786	20241209154500	https://www.washingtonblade.com/2024/12/09/out-in-the-world-lgbtq-news-from-canada-europe-and-asia/
