1218706455	20240104	202401	2024	2024.0110											COP	PRISON						COP			0	036	036	03	1	4.0	10	1	10	-1.5169194865811	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250103144500	https://www.boredpanda.com/paige-nicole-gigi-taylor-prison-wife-judge-podcast-love-within-walls/
1218706456	20240104	202401	2024	2024.0110	AUS	AUSTRALIAN	AUS								USACVL	HERITAGE FOUNDATION	USA					CVL			1	042	042	04	1	1.9	4	1	4	-1.15979381443299	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250103144500	https://www.theguardian.com/australia-news/2025/jan/03/heritage-foundation-project-2025-australian-ambassador-kevin-rudd-embassy-briefing
1218706457	20240104	202401	2024	2024.0110	AUSGOV	AUSTRALIAN	AUS					GOV			USACVL	HERITAGE FOUNDATION	USA					CVL			1	042	042	04	1	1.9	6	1	6	-1.15979381443299	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250103144500	https://www.theguardian.com/australia-news/2025/jan/03/heritage-foundation-project-2025-australian-ambassador-kevin-rudd-embassy-briefing
1218706458	20240104	202401	2024	2024.0110	COP	PRISON						COP													0	036	036	03	1	4.0	2	1	2	-1.5169194865811	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20250103144500	https://www.boredpanda.com/paige-nicole-gigi-taylor-prison-wife-judge-podcast-love-within-walls/
1218706459	20240104	202401	2024	2024.0110	COP	PRISON						COP													0	036	036	03	1	4.0	8	1	8	-1.5169194865811	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250103144500	https://www.boredpanda.com/paige-nicole-gigi-taylor-prison-wife-judge-podcast-love-within-walls/
1218706460	20240104	202401	2024	2024.0110	LEG	PARLIAMENT						LEG			RUS	RUSSIAN	RUS								0	014	014	01	1	0.0	2	1	2	-4.38034188034188	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250103144500	https://www.nbcdfw.com/news/business/money-report/ukraines-halt-of-russian-gas-to-europe-throws-breakaway-moldovan-region-into-crisis-mode/3732262/
1218706461	20240104	202401	2024	2024.0110	USACVL	HERITAGE FOUNDATION	USA					CVL			AUS	AUSTRALIAN	AUS								1	043	043	04	1	2.8	4	1	4	-1.15979381443299	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250103144500	https://www.theguardian.com/australia-news/2025/jan/03/heritage-foundation-project-2025-australian-ambassador-kevin-rudd-embassy-briefing
1218706462	20240104	202401	2024	2024.0110	USACVL	HERITAGE FOUNDATION	USA					CVL			AUSGOV	AUSTRALIAN	AUS					GOV			1	043	043	04	1	2.8	6	1	6	-1.15979381443299	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250103144500	https://www.theguardian.com/australia-news/2025/jan/03/heritage-foundation-project-2025-australian-ambassador-kevin-rudd-embassy-briefing
1218706463	20240104	202401	2024	2024.0110	USACVL	HERITAGE FOUNDATION	USA					CVL			USA	UNITED STATES	USA								1	020	020	02	1	3.0	2	1	2	-1.15979381443299	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250103144500	https://www.theguardian.com/australia-news/2025/jan/03/heritage-foundation-project-2025-australian-ambassador-kevin-rudd-embassy-briefing
1218706464	20240104	202401	2024	2024.0110	USACVL	HERITAGE FOUNDATION	USA					CVL			USA	UNITED STATES	USA								1	020	020	02	1	3.0	2	1	2	-1.15979381443299	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250103144500	https://www.theguardian.com/australia-news/2025/jan/03/heritage-foundation-project-2025-australian-ambassador-kevin-rudd-embassy-briefing
