1218859226	20240105	202401	2024	2024.0137	GBR	SCOTLAND	GBR								BUS	INVESTOR						BUS			1	060	060	06	2	6.0	9	1	9	-2.18253968253968	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250104170000	https://www.cracked.com/article_44969_depressing-fates-of-iconic-landmarks.html
1218859227	20241205	202412	2024	2024.9178	GOV	PRESIDENT						GOV			KOR	SOUTH KOREA	KOR								1	036	036	03	1	4.0	6	1	6	0.20661157024794	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20250104170000	https://www.theepochtimes.com/us/blinken-heads-to-south-korea-japan-france-in-final-visit-as-top-us-diplomat-5786220
1218859228	20241205	202412	2024	2024.9178	KOR	SOUTH KOREA	KOR								GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	6	1	6	0.20661157024794	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20250104170000	https://www.theepochtimes.com/us/blinken-heads-to-south-korea-japan-france-in-final-visit-as-top-us-diplomat-5786220
1218859229	20241205	202412	2024	2024.9178	KOR	SOUTH KOREA	KOR								KORGOV	SOUTH KOREA	KOR					GOV			1	036	036	03	1	4.0	2	1	2	0.20661157024794	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20250104170000	https://www.theepochtimes.com/us/blinken-heads-to-south-korea-japan-france-in-final-visit-as-top-us-diplomat-5786220
1218859230	20241205	202412	2024	2024.9178	KORGOV	SOUTH KOREA	KOR					GOV			KOR	SOUTH KOREA	KOR								1	036	036	03	1	4.0	2	1	2	0.20661157024794	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20250104170000	https://www.theepochtimes.com/us/blinken-heads-to-south-korea-japan-france-in-final-visit-as-top-us-diplomat-5786220
1218859231	20241205	202412	2024	2024.9178	UKR	UKRAINIAN	UKR								MIL	INFANTRY						MIL			0	010	010	01	1	0.0	7	1	7	-2.86278381046397	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250104170000	https://www.theguardian.com/world/2025/jan/04/ukraine-dealmaker-trump-putin-war-russia-zelenskyy
1218859232	20241205	202412	2024	2024.9178	UKR	UKRAINE	UKR								MIL	INFANTRY						MIL			0	010	010	01	1	0.0	1	1	1	-2.86278381046397	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250104170000	https://www.theguardian.com/world/2025/jan/04/ukraine-dealmaker-trump-putin-war-russia-zelenskyy
1218859233	20241205	202412	2024	2024.9178	UKR	UKRAINE	UKR								MIL	INFANTRY						MIL			0	013	013	01	1	0.4	1	1	1	-2.86278381046397	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250104170000	https://www.theguardian.com/world/2025/jan/04/ukraine-dealmaker-trump-putin-war-russia-zelenskyy
1218859234	20241205	202412	2024	2024.9178	UKR	UKRAINE	UKR								MIL	INFANTRY						MIL			0	013	013	01	1	0.4	1	1	1	-2.86278381046397	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250104170000	https://www.theguardian.com/world/2025/jan/04/ukraine-dealmaker-trump-putin-war-russia-zelenskyy
1218859235	20241228	202412	2024	2024.9808	EUR	EUROPE	EUR								USA	JERSEY	USA								1	190	190	19	4	-10.0	10	1	10	0	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	20250104170000	https://www.itv.com/news/channel/2025-01-04/health-bosses-prepared-for-all-eventualities-as-flu-cases-rise-in-island
