1213113775	20231203	202312	2023	2023.9123	KHM	CAMBODIA	KHM								BUS	MANUFACTURER						BUS			0	114	114	11	3	-2.0	1	1	1	-2.42424242424242	1	Thailand	TH	TH		15	100	TH	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20241202084500	https://www.thejakartapost.com/business/2024/12/02/malaysia-urges-chinese-firms-to-avoid-using-it-to-dodge-us-tariffs.html
1213113776	20231203	202312	2023	2023.9123	MYS	MALAYSIA	MYS								BUS	MANUFACTURER						BUS			0	114	114	11	3	-2.0	1	1	1	-2.42424242424242	1	Malaysia	MY	MY		2.5	112.5	MY	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20241202084500	https://www.thejakartapost.com/business/2024/12/02/malaysia-urges-chinese-firms-to-avoid-using-it-to-dodge-us-tariffs.html
1213113777	20231203	202312	2023	2023.9123	MYS	MALAYSIA	MYS								BUS	MANUFACTURER						BUS			0	114	114	11	3	-2.0	1	1	1	-2.42424242424242	1	Thailand	TH	TH		15	100	TH	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20241202084500	https://www.thejakartapost.com/business/2024/12/02/malaysia-urges-chinese-firms-to-avoid-using-it-to-dodge-us-tariffs.html
1213113778	20231203	202312	2023	2023.9123	THA	THAILAND	THA								BUS	MANUFACTURER						BUS			0	114	114	11	3	-2.0	1	1	1	-2.42424242424242	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20241202084500	https://www.thejakartapost.com/business/2024/12/02/malaysia-urges-chinese-firms-to-avoid-using-it-to-dodge-us-tariffs.html
1213113779	20241102	202411	2024	2024.8274	BUS	BUSINESS						BUS													1	073	073	07	2	7.4	5	1	5	1.48148148148148	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20241202084500	https://economictimes.indiatimes.com/tech/technology/swiggy-expands-10-minute-food-delivery-service-bolt-to-over-400-cities/articleshow/115893631.cms
1213113780	20241102	202411	2024	2024.8274	GOV	GOVERNMENT						GOV													1	084	084	08	2	7.0	10	1	10	-2.90135396518375	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	0								4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20241202084500	https://www.medianama.com/2024/12/223-centre-deploys-500-drones-namo-drone-didi-scheme-reports-zero-expenditure/
1213113781	20241102	202411	2024	2024.8274	JAM	JAMAICA	JAM								GOV	ADMINISTRATION						GOV			0	190	190	19	4	-10.0	2	1	2	-0.38860103626943	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	20241202084500	https://www.jamaicaobserver.com/2024/12/02/deportation-jitters/
1213113782	20241102	202411	2024	2024.8274	USA	UNITED STATES	USA								GOV	ADMINISTRATION						GOV			0	190	190	19	4	-10.0	2	1	2	-0.38860103626943	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	20241202084500	https://www.jamaicaobserver.com/2024/12/02/deportation-jitters/
1213113783	20241102	202411	2024	2024.8274	USAJUD	FLORIDA	USA					JUD			GOV	ADMINISTRATION						GOV			0	190	190	19	4	-10.0	6	1	6	-0.38860103626943	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	20241202084500	https://www.jamaicaobserver.com/2024/12/02/deportation-jitters/
1213113784	20241125	202411	2024	2024.8904											BGD	BANGLADESHI	BGD								1	173	173	17	4	-5.0	3	1	3	-7.06521739130435	0								1	Bangladesh	BG	BG		24	90	BG	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20241202084500	https://www.prokerala.com/news/articles/a1586400.html
