1214749728	20231211	202312	2023	2023.9342	AFR	AFRICA	AFR																		0	020	020	02	1	3.0	2	1	2	0.43010752688172	4	Sussex, Limpopo, South Africa	SF	SF09	6322	-23.4951	27.2675	-1288462	0								4	Sussex, Limpopo, South Africa	SF	SF09	6322	-23.4951	27.2675	-1288462	20241210100000	https://www.mirror.co.uk/news/royals/prince-harry-suffers-fresh-blow-34282925
1214749729	20231211	202312	2023	2023.9342	BUS	BOSS						BUS													0	012	012	01	1	-0.4	3	1	3	-2.86532951289398	4	Greenock, Inverclyde, United Kingdom	UK	UKV4	40176	55.9333	-4.75	-2597673	0								4	Greenock, Inverclyde, United Kingdom	UK	UKV4	40176	55.9333	-4.75	-2597673	20241210100000	https://www.greenocktelegraph.co.uk/news/24781538.msps-back-call-peel-ports-ditch-clyde-conservancy-fee/
1214749730	20231211	202312	2023	2023.9342	BUS	BOSS						BUS			GBR	UNITED KINGDOM	GBR								0	012	012	01	1	-0.4	2	1	2	-2.86532951289398	4	Greenock, Inverclyde, United Kingdom	UK	UKV4	40176	55.9333	-4.75	-2597673	4	Greenock, Inverclyde, United Kingdom	UK	UKV4	40176	55.9333	-4.75	-2597673	4	Greenock, Inverclyde, United Kingdom	UK	UKV4	40176	55.9333	-4.75	-2597673	20241210100000	https://www.greenocktelegraph.co.uk/news/24781538.msps-back-call-peel-ports-ditch-clyde-conservancy-fee/
1214749731	20231211	202312	2023	2023.9342	LVA	LATVIAN	LVA								GOV	ADMINISTRATION						GOV			1	010	010	01	1	0.0	10	1	10	1.51057401812689	4	Liepaja, Liepaja, Latvia	LG	LG16	18777	56.5167	21.0167	-3210389	4	Liepaja, Liepaja, Latvia	LG	LG16	18777	56.5167	21.0167	-3210389	4	Riga, Riga, Latvia	LG	LG25	18784	56.95	24.1	-3212216	20241210100000	https://bnn-news.com/bus-and-train-fares-may-go-up-again-in-latvia-263149
1214749732	20231211	202312	2023	2023.9342	NER	NIGERIEN	NER								MED	MEDIA						MED			1	170	170	17	4	-7.0	2	1	2	-6.19946091644205	4	Niamey, Niamey, Niger	NG	NG08	22581	13.5167	2.11667	-1084956	4	Niamey, Niamey, Niger	NG	NG08	22581	13.5167	2.11667	-1084956	4	Niamey, Niamey, Niger	NG	NG08	22581	13.5167	2.11667	-1084956	20241210100000	https://www.barrons.com/news/rights-groups-call-for-immediate-release-of-niger-activist-9ff7ca08
1214749733	20241110	202411	2024	2024.8493	GOV	RULER						GOV			ISR	ISRAEL	ISR								0	120	120	12	3	-4.0	1	1	1	-8.63683662851196	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Saudi Arabia	SA	SA		25	45	SA	20241210100000	https://www.news-gazette.com/news/nation-world/middle-east-latest-netanyahu-prepares-to-testify-in-court-in-a-corruption-trial/article_0c9c9de3-fa59-584b-a94a-2f6ea38fc0ac.html
1214749734	20241110	202411	2024	2024.8493	GOV	RULER						GOV			ISR	ISRAEL	ISR								0	120	120	12	3	-4.0	1	1	1	-8.47803881511746	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	20241210100000	https://www.channel3000.com/news/national-and-world-news/israel-conflict/middle-east-latest-netanyahu-prepares-to-testify-in-court-in-a-corruption-trial/article_af9a208f-879d-5cf8-9d89-03b036daa4c1.html
1214749735	20241110	202411	2024	2024.8493	IRL	IRELAND	IRL								MED	MEDIA						MED			1	190	190	19	4	-10.0	2	1	2	-6.73575129533679	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20241210100000	https://www.irishmirror.ie/news/irish-news/conor-mcgregor-social-media-posts-34283125
1214749736	20241110	202411	2024	2024.8493	IRL	IRELAND	IRL								MED	MEDIA						MED			1	190	190	19	4	-10.0	2	1	2	-6.73575129533679	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Sandyford, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2697	-6.22417	419171	4	Sandyford, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2697	-6.22417	419171	20241210100000	https://www.irishmirror.ie/news/irish-news/conor-mcgregor-social-media-posts-34283125
1214749737	20241110	202411	2024	2024.8493	IRL	DUBLIN	IRL								MED	MEDIA						MED			1	190	190	19	4	-10.0	6	1	6	-6.73575129533679	4	Sandyford, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2697	-6.22417	419171	4	Sandyford, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2697	-6.22417	419171	4	Sandyford, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2697	-6.22417	419171	20241210100000	https://www.irishmirror.ie/news/irish-news/conor-mcgregor-social-media-posts-34283125
