1208593283	20231108	202311	2023	2023.8438											MNCUSA	NETFLIX	USA					MNC			0	042	042	04	1	1.9	4	1	4	-3.59712230215827	0								1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20241107111500	https://www.mirror.co.uk/3am/celebrity-news/christina-applegate-reveals-daughters-devastating-34057391
1208593284	20231108	202311	2023	2023.8438											MYS	MALAYSIA	MYS								1	173	173	17	4	-5.0	2	1	2	-5.90551181102362	0								4	Kota Kinabalu, Sabah, Malaysia	MY	MY16	37409	5.9749	116.072	-2404760	4	Kota Kinabalu, Sabah, Malaysia	MY	MY16	37409	5.9749	116.072	-2404760	20241107111500	https://dailyexpress.com.my/news/245522/may-13-trial-for-rm24-2m-fixed-deposit-fraudulent-withdrawal-case-in-kk/
1208593285	20231108	202311	2023	2023.8438	MNCUSA	NETFLIX	USA					MNC													0	043	043	04	1	2.8	4	1	4	-3.59712230215827	1	Netherlands	NL	NL		52.5	5.75	NL	0								1	Netherlands	NL	NL		52.5	5.75	NL	20241107111500	https://www.mirror.co.uk/3am/celebrity-news/christina-applegate-reveals-daughters-devastating-34057391
1208593286	20241008	202410	2024	2024.7616											EDU	STUDENT						EDU			1	141	141	14	3	-6.5	5	1	5	-4.63576158940397	0								4	Naivasha, Rift Valley, Kenya	KE	KE08	18585	-0.716667	36.4359	-2258110	4	Naivasha, Rift Valley, Kenya	KE	KE08	18585	-0.716667	36.4359	-2258110	20241107111500	https://www.the-star.co.ke/news/realtime/2024-11-07-over-20-passengers-escape-death-after-bus-catches-fire
1208593287	20241008	202410	2024	2024.7616	GOVCHR	CHIEF EXECUTIVE				CHR		GOV			MED	GAZETTE						MED			0	010	010	01	1	0.0	6	1	6	1.99386503067484	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20241107111500	https://pressgazette.co.uk/north-america/comscore-data-independent-overtakes-mail-and-guardian-in-us-in-september/
1208593288	20241008	202410	2024	2024.7616	MED	MAGAZINE						MED													1	180	180	18	4	-9.0	3	1	3	-5.5793991416309	3	University Of Central Arkansas, Arkansas, United States	US	USAR	AR045	35.0793	-92.4571	62928	0								3	University Of Central Arkansas, Arkansas, United States	US	USAR		35.0793	-92.4571	62928	20241107111500	https://www.arkansasonline.com/news/2024/nov/07/other-days/
1208593289	20241008	202410	2024	2024.7616	MED	MAGAZINE						MED													1	180	180	18	4	-9.0	3	1	3	-5.5793991416309	3	Arkansas State University, Arkansas, United States	US	USAR	AR031	35.8431	-90.6771	76193	0								3	Arkansas State University, Arkansas, United States	US	USAR		35.8431	-90.6771	76193	20241107111500	https://www.arkansasonline.com/news/2024/nov/07/other-days/
1208593290	20241008	202410	2024	2024.7616	MED	MAGAZINE						MED			USA	UNITED STATES	USA								1	180	180	18	4	-9.0	4	1	4	-5.5793991416309	3	Arkansas State University, Arkansas, United States	US	USAR	AR031	35.8431	-90.6771	76193	3	Arkansas State University, Arkansas, United States	US	USAR		35.8431	-90.6771	76193	3	Faulkner County, Arkansas, United States	US	USAR		35.1668	-92.3335	66852	20241107111500	https://www.arkansasonline.com/news/2024/nov/07/other-days/
1208593291	20241031	202410	2024	2024.8247	AZE	AZERBAIJAN	AZE								GOV	PRIME MINISTER						GOV			1	036	036	03	1	4.0	4	1	4	0.84210526315789	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20241107111500	https://propakistani.pk/2024/11/07/pm-shehbaz-to-visit-saudi-arabia-azerbaijan-next-week-for-arab-summit-cop29/
1208593292	20241031	202410	2024	2024.8247	AZE	AZERBAIJAN	AZE								GOV	PRIME MINISTER						GOV			1	036	036	03	1	4.0	2	1	2	0.84210526315789	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20241107111500	https://propakistani.pk/2024/11/07/pm-shehbaz-to-visit-saudi-arabia-azerbaijan-next-week-for-arab-summit-cop29/
