1225215789	20240208	202402	2024	2024.1041	AFG	AFGHANISTAN	AFG								PSEREB	HAMAS	PSE					REB			0	010	010	01	1	0.0	2	1	2	-5.81180811808118	4	Karim Khan, Paktika, Afghanistan	AF	AF29	3688	32.6426	68.9389	6206554	4	Karim Khan, Paktika, Afghanistan	AF	AF29	3688	32.6426	68.9389	6206554	4	Karim Khan, Paktika, Afghanistan	AF	AF29	3688	32.6426	68.9389	6206554	20250207151500	https://www.cnn.com/2025/02/07/world/icc-trump-sanctions-israel-gaza-explained-intl/
1225215790	20240208	202402	2024	2024.1041	AFR	AFRICA	AFR								EGY	EGYPT	EGY								1	042	042	04	1	1.9	2	1	2	6.92307692307692	4	Sharm El Sheikh, Janub Sina', Egypt	EG	EG26	66041	27.8518	34.305	-302053	4	Sharm El Sheikh, Janub Sina', Egypt	EG	EG26	66041	27.8518	34.305	-302053	4	Sharm El Sheikh, Janub Sina', Egypt	EG	EG26	66041	27.8518	34.305	-302053	20250207151500	https://ftnnews.com/travel-news/mice/atf25-egypt-africas-leading-tourism-fair-returns-to-sharm-el-sheikh/
1225215791	20240208	202402	2024	2024.1041	AFRJUD	AFRICA	AFR					JUD			AFR	AFRICA	AFR								1	173	173	17	4	-5.0	2	1	2	-8.89830508474576	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20250207151500	https://www.sowetanlive.co.za/news/2025-02-07-its-off-to-high-court-for-five-accused-in-aka-murder-two-years-later/
1225215792	20240208	202402	2024	2024.1041	EDU	STUDENT						EDU			BGD	BANGLADESH	BGD								0	111	111	11	3	-2.0	2	1	2	-4.00801603206413	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250207151500	https://www.news18.com/india/made-in-individual-capacity-india-summons-bangladesh-envoy-amid-sheikh-hasinas-speech-row-9218796.html
1225215793	20240208	202402	2024	2024.1041	EGY	EGYPT	EGY								AFR	AFRICA	AFR								1	043	043	04	1	2.8	2	1	2	6.92307692307692	4	Sharm El Sheikh, Janub Sina', Egypt	EG	EG26	66041	27.8518	34.305	-302053	4	Sharm El Sheikh, Janub Sina', Egypt	EG	EG26	66041	27.8518	34.305	-302053	4	Sharm El Sheikh, Janub Sina', Egypt	EG	EG26	66041	27.8518	34.305	-302053	20250207151500	https://ftnnews.com/travel-news/mice/atf25-egypt-africas-leading-tourism-fair-returns-to-sharm-el-sheikh/
1225215794	20240208	202402	2024	2024.1041	PER	PERU	PER								USA	UNITED STATES	USA								0	013	013	01	1	0.4	6	1	6	4.42359249329759	1	Peru	PE	PE		-10	-76	PE	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Peru	PE	PE		-10	-76	PE	20250207151500	https://thehoya.com/news/peruvian-ambassador-predicts-perus-regional-power-trade-future/
1225215795	20240208	202402	2024	2024.1041	PER	PERU	PER								USA	UNITED STATES	USA								0	013	013	01	1	0.4	2	1	2	4.42359249329759	1	Peru	PE	PE		-10	-76	PE	1	Peru	PE	PE		-10	-76	PE	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250207151500	https://thehoya.com/news/peruvian-ambassador-predicts-perus-regional-power-trade-future/
1225215796	20240208	202402	2024	2024.1041	PER	PERU	PER								USA	UNITED STATES	USA								0	013	013	01	1	0.4	2	1	2	4.42359249329759	1	Peru	PE	PE		-10	-76	PE	1	Peru	PE	PE		-10	-76	PE	1	Peru	PE	PE		-10	-76	PE	20250207151500	https://thehoya.com/news/peruvian-ambassador-predicts-perus-regional-power-trade-future/
1225215797	20240208	202402	2024	2024.1041	PER	PERU	PER								USA	UNITED STATES	USA								0	017	017	01	1	0.0	6	1	6	4.42359249329759	1	Peru	PE	PE		-10	-76	PE	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250207151500	https://thehoya.com/news/peruvian-ambassador-predicts-perus-regional-power-trade-future/
1225215798	20240208	202402	2024	2024.1041	PER	PERU	PER								USA	UNITED STATES	USA								0	017	017	01	1	0.0	2	1	2	4.42359249329759	1	Peru	PE	PE		-10	-76	PE	1	Peru	PE	PE		-10	-76	PE	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250207151500	https://thehoya.com/news/peruvian-ambassador-predicts-perus-regional-power-trade-future/
1225215799	20240208	202402	2024	2024.1041	PER	PERU	PER								USA	UNITED STATES	USA								0	017	017	01	1	0.0	2	1	2	4.42359249329759	1	Peru	PE	PE		-10	-76	PE	1	Peru	PE	PE		-10	-76	PE	1	Peru	PE	PE		-10	-76	PE	20250207151500	https://thehoya.com/news/peruvian-ambassador-predicts-perus-regional-power-trade-future/
1225215800	20240208	202402	2024	2024.1041	ZAF	DURBAN	ZAF								AFR	AFRICA	AFR								1	173	173	17	4	-5.0	2	1	2	-8.89830508474576	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20250207151500	https://www.sowetanlive.co.za/news/2025-02-07-its-off-to-high-court-for-five-accused-in-aka-murder-two-years-later/
1225215801	20250108	202501	2025	2025.0219	GOV	GOVERNMENT						GOV													0	010	010	01	1	0.0	6	1	6	1.35265700483091	2	Montana, United States	US	USMT		46.9048	-110.326	MT	0								2	Montana, United States	US	USMT		46.9048	-110.326	MT	20250207151500	https://www.bozemandailychronicle.com/news/are-passenger-trains-entering-a-golden-age-or-reaching-the-end-of-the-line/article_ddc694aa-e432-11ef-9074-03e422734b0f.html
1225215802	20250108	202501	2025	2025.0219	GOV	GOVERNMENT						GOV			USA	UNITED STATES	USA								0	010	010	01	1	0.0	4	1	4	1.35265700483091	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20250207151500	https://www.bozemandailychronicle.com/news/are-passenger-trains-entering-a-golden-age-or-reaching-the-end-of-the-line/article_ddc694aa-e432-11ef-9074-03e422734b0f.html
1225215803	20250108	202501	2025	2025.0219	PTY	POLITICIAN									IDN	INDONESIA	IDN								1	017	017	01	1	0.0	1	1	1	1.53846153846154	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20250207151500	https://www.irishexaminer.com/world/arid-41569984.html
1225215804	20250108	202501	2025	2025.0219	PTY	POLITICIAN									USA	WASHINGTON	USA								1	017	017	01	1	0.0	5	1	5	1.53846153846154	1	Indonesia	ID	ID		-5	120	ID	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250207151500	https://www.irishexaminer.com/world/arid-41569984.html
1225215805	20250108	202501	2025	2025.0219	USAPTY	UNITED STATES	USA								IDN	INDONESIA	IDN								1	017	017	01	1	0.0	1	1	1	1.53846153846154	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20250207151500	https://www.irishexaminer.com/world/arid-41569984.html
1225215806	20250131	202501	2025	2025.0849	BGDGOV	BANGLADESH	BGD					GOV			BGD	BANGLADESH	BGD								1	026	026	02	1	4.0	2	1	2	-2	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250207151500	https://www.firstpost.com/world/will-modi-trump-discuss-bangladesh-foreign-secretary-says-it-might-come-up-13860791.html
1225215807	20250131	202501	2025	2025.0849	GOV	FOREIGN SECRETARY						GOV			BGD	BANGLADESH	BGD								1	026	026	02	1	4.0	8	1	8	-2	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250207151500	https://www.firstpost.com/world/will-modi-trump-discuss-bangladesh-foreign-secretary-says-it-might-come-up-13860791.html
