1225207985	20250108	202501	2025	2025.0219	USAGOV	UNITED STATES	USA					GOV			USAGOV	THE WHITE HOUSE	USA					GOV			1	042	042	04	1	1.9	2	1	2	-2.95358649789029	1	Russia	RS	RS		60	100	RS	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250207143000	https://www.globalsecurity.org/wmd/library/news/safrica/safrica-250206-rferl01.htm
1225207986	20250131	202501	2025	2025.0849	CHN	CHINA	CHN								THA	THAILAND	THA								0	042	042	04	1	1.9	1	1	1	-3.30250990752972	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250207143000	https://www.globalsecurity.org/wmd/library/news/china/2025/02/china-250206-rfa03.htm
1225207987	20250131	202501	2025	2025.0849	CHN	CHINA	CHN								THA	THAILAND	THA								0	042	042	04	1	1.9	1	1	1	-3.30250990752972	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20250207143000	https://www.globalsecurity.org/wmd/library/news/china/2025/02/china-250206-rfa03.htm
1225207988	20250131	202501	2025	2025.0849	COP	SECURITY OFFICIAL						COP			AFG	AFGHANISTAN	AFG								0	063	063	06	2	7.4	8	1	8	-6.76532769556025	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	20250207143000	https://www.firstpost.com/explainers/pakistan-deport-afghan-refugees-us-donald-trump-usrap-suspend-13860683.html
1225207989	20250131	202501	2025	2025.0849	COP	SECURITY OFFICIAL						COP			AFG	AFGHANISTAN	AFG								0	063	063	06	2	7.4	2	1	2	-6.76532769556025	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20250207143000	https://www.firstpost.com/explainers/pakistan-deport-afghan-refugees-us-donald-trump-usrap-suspend-13860683.html
1225207990	20250131	202501	2025	2025.0849	COP	SECURITY OFFICIAL						COP			AFG	AFGHANISTAN	AFG								0	174	174	17	4	-5.0	6	1	6	-6.76532769556025	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20250207143000	https://www.firstpost.com/explainers/pakistan-deport-afghan-refugees-us-donald-trump-usrap-suspend-13860683.html
1225207991	20250131	202501	2025	2025.0849	COP	SECURITY OFFICIAL						COP			AFG	AFGHANISTAN	AFG								0	174	174	17	4	-5.0	2	1	2	-6.76532769556025	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	20250207143000	https://www.firstpost.com/explainers/pakistan-deport-afghan-refugees-us-donald-trump-usrap-suspend-13860683.html
1225207992	20250131	202501	2025	2025.0849	COP	SECURITY OFFICIAL						COP			AFG	AFGHANISTAN	AFG								0	174	174	17	4	-5.0	2	1	2	-6.76532769556025	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	20250207143000	https://www.firstpost.com/explainers/pakistan-deport-afghan-refugees-us-donald-trump-usrap-suspend-13860683.html
1225207993	20250131	202501	2025	2025.0849	COP	SECURITY OFFICIAL						COP			PAKGOV	PAKISTAN	PAK					GOV			0	010	010	01	1	0.0	8	1	8	-6.76532769556025	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20250207143000	https://www.firstpost.com/explainers/pakistan-deport-afghan-refugees-us-donald-trump-usrap-suspend-13860683.html
1225207994	20250131	202501	2025	2025.0849	COP	SECURITY OFFICIAL						COP			PAKGOV	PAKISTAN	PAK					GOV			0	010	010	01	1	0.0	2	1	2	-6.76532769556025	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	4	Takhta Pul, Kandahar, Afghanistan	AF	AF23	3596	31.3206	65.9611	-3394399	20250207143000	https://www.firstpost.com/explainers/pakistan-deport-afghan-refugees-us-donald-trump-usrap-suspend-13860683.html
