1219096074	20240107	202401	2024	2024.0192	AFR	AFRICA	AFR																		0	012	012	01	1	-0.4	5	1	5	-2.77777777777777	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	0								4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	20250106160000	https://finance.yahoo.com/news/arcelormittal-south-africa-shut-down-152735320.html
1219096075	20240107	202401	2024	2024.0192	AFR	AFRICA	AFR																		0	110	110	11	3	-2.0	5	1	5	-2.77777777777777	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	0								4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	20250106160000	https://finance.yahoo.com/news/arcelormittal-south-africa-shut-down-152735320.html
1219096076	20240107	202401	2024	2024.0192	AFR	AFRICA	AFR								BUS	COMPANY						BUS			0	012	012	01	1	-0.4	5	1	5	-2.77777777777777	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	20250106160000	https://finance.yahoo.com/news/arcelormittal-south-africa-shut-down-152735320.html
1219096077	20240107	202401	2024	2024.0192	AFR	AFRICA	AFR								BUS	COMPANY						BUS			0	110	110	11	3	-2.0	5	1	5	-2.77777777777777	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	4	Vereeniging, Gauteng, South Africa	SF	SF06	77351	-26.6731	27.9261	-1296248	20250106160000	https://finance.yahoo.com/news/arcelormittal-south-africa-shut-down-152735320.html
1219096078	20240107	202401	2024	2024.0192	BUS	COMPANY						BUS													0	035	035	03	1	7.0	10	1	10	-0.50167224080267	4	Boscombe, Wiltshire, United Kingdom	UK	UKP8	40139	51.15	-1.71667	-2590447	0								4	Boscombe, Wiltshire, United Kingdom	UK	UKP8	40139	51.15	-1.71667	-2590447	20250106160000	https://www.dailystar.co.uk/life-style/money/high-street-crisis-body-shop-34426153
1219096079	20240107	202401	2024	2024.0192	BUS	EXPORTER						BUS			GBR	UNITED KINGDOM	GBR								0	061	061	06	2	6.4	6	1	6	-0.403768506056532	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20250106160000	https://www.thedailystar.net/business/news/high-prices-freight-costs-take-toll-vegetable-exports-3793411
1219096080	20240107	202401	2024	2024.0192	CAN	CANADA	CAN								LEG	LEGISLATOR						LEG			0	012	012	01	1	-0.4	8	2	8	-1.3129102844639	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250106160000	https://www.bemidjipioneer.com/news/world/canadas-trudeau-to-announce-on-monday-he-will-step-down-as-prime-minister-cbc-news-says
1219096081	20240107	202401	2024	2024.0192	EDU	STUDENT						EDU			GOV	GOVERNMENT						GOV			0	0831	083	08	2	5.0	1	1	1	-2.1523178807947	4	Hampstead, Camden, United Kingdom	UK	UKC4	40110	51.55	-0.183333	-2598069	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Hampstead, Camden, United Kingdom	UK	UKC4	40110	51.55	-0.183333	-2598069	20250106160000	https://www.theguardian.com/politics/2025/jan/06/tulip-siddiq-refers-herself-to-watchdog-after-bangladesh-linked-property-claims
1219096082	20240107	202401	2024	2024.0192	EDU	STUDENT						EDU			GOV	GOVERNMENT						GOV			0	0831	083	08	2	5.0	9	1	9	-2.1523178807947	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250106160000	https://www.theguardian.com/politics/2025/jan/06/tulip-siddiq-refers-herself-to-watchdog-after-bangladesh-linked-property-claims
1219096083	20240107	202401	2024	2024.0192	GBR	UNITED KINGDOM	GBR																		0	061	061	06	2	6.4	4	1	4	-0.403768506056532	1	Bangladesh	BG	BG		24	90	BG	0								1	Bangladesh	BG	BG		24	90	BG	20250106160000	https://www.thedailystar.net/business/news/high-prices-freight-costs-take-toll-vegetable-exports-3793411
1219096084	20240107	202401	2024	2024.0192	LEG	LEGISLATOR						LEG													0	012	012	01	1	-0.4	12	2	12	-1.3129102844639	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250106160000	https://www.bemidjipioneer.com/news/world/canadas-trudeau-to-announce-on-monday-he-will-step-down-as-prime-minister-cbc-news-says
