1217188070	20231224	202312	2023	2023.9699	CVL	VOTER						CVL													1	042	042	04	1	1.9	5	1	5	-1.32743362831859	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20241223120000	https://www.thestar.com.my/news/nation/2024/12/23/govt-approval-rating-up-slightly-this-year-at-51-survey-finds
1217188071	20241123	202411	2024	2024.8849	COP	BORDER PATROL AGENT						COP			ESP	SPAIN	ESP								1	174	174	17	4	-5.0	1	1	1	-5.34171249018068	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20241223120000	https://www.ajc.com/news/georgia-news/migrant-gave-birth-in-us-then-was-sent-back-to-mexico-now-shes-suing/DNIG63MTSZHBJLPK7VAJBVNLDA/
1217188072	20241123	202411	2024	2024.8849	COP	BORDER PATROL AGENT						COP			USA	ATLANTA	USA								1	174	174	17	4	-5.0	5	1	5	-5.34171249018068	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20241223120000	https://www.ajc.com/news/georgia-news/migrant-gave-birth-in-us-then-was-sent-back-to-mexico-now-shes-suing/DNIG63MTSZHBJLPK7VAJBVNLDA/
1217188073	20241123	202411	2024	2024.8849	IGOEUREEC	THE EU	EUR	EEC				IGO													0	090	090	09	2	-2.0	4	1	4	-3.125	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20241223120000	https://visegradinsight.eu/asylum-budapest-political-refugees-and-gas-addicts/
1217188074	20241123	202411	2024	2024.8849	IGOEUREEC	THE EU	EUR	EEC				IGO													0	090	090	09	2	-2.0	6	1	6	-3.125	1	Romania	RO	RO		46	25	RO	0								1	Romania	RO	RO		46	25	RO	20241223120000	https://visegradinsight.eu/asylum-budapest-political-refugees-and-gas-addicts/
1217188075	20241216	202412	2024	2024.9479											COP	POLICE						COP			0	036	036	03	1	4.0	4	1	4	-1.20734908136483	0								3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	20241223120000	https://www.masslive.com/politics/2024/12/mass-gov-healey-productive-2024-had-wins-work-yet-to-be-done-bay-state-briefing.html
1217188076	20241216	202412	2024	2024.9479											USA	UNITED STATES	USA								1	173	173	17	4	-5.0	8	4	4	-9.26517571884983	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	20241223120000	https://www.wfmynews2.com/article/news/nation-world/luigi-mangione-nyc-arraignment-unitedhealthcare-ceo-death/507-57c7affa-29a7-46ef-8a4c-11822d1f6075
1217188077	20241216	202412	2024	2024.9479											USA	UNITED STATES	USA								1	190	190	19	4	-10.0	4	4	4	-9.26517571884983	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	20241223120000	https://www.wfmynews2.com/article/news/nation-world/luigi-mangione-nyc-arraignment-unitedhealthcare-ceo-death/507-57c7affa-29a7-46ef-8a4c-11822d1f6075
1217188078	20241216	202412	2024	2024.9479	COP	POLICE						COP													0	036	036	03	1	4.0	4	1	4	-1.20734908136483	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	0								3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	20241223120000	https://www.masslive.com/politics/2024/12/mass-gov-healey-productive-2024-had-wins-work-yet-to-be-done-bay-state-briefing.html
1217188079	20241216	202412	2024	2024.9479	COP	POLICE						COP			USACOP	UNITED STATES	USA					COP			0	036	036	03	1	4.0	2	1	2	-1.20734908136483	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	20241223120000	https://www.masslive.com/politics/2024/12/mass-gov-healey-productive-2024-had-wins-work-yet-to-be-done-bay-state-briefing.html
1217188080	20241216	202412	2024	2024.9479	COP	POLICE						COP			USAELI	UNITED STATES	USA					ELI			0	036	036	03	1	4.0	2	1	2	-1.20734908136483	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	20241223120000	https://www.masslive.com/politics/2024/12/mass-gov-healey-productive-2024-had-wins-work-yet-to-be-done-bay-state-briefing.html
1217188081	20241216	202412	2024	2024.9479	USA	UNITED STATES	USA								JUD	FEDERAL COURT						JUD			1	173	173	17	4	-5.0	4	1	4	-10.0371747211896	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	20241223120000	https://www.cbsnews.com/news/luigi-mangione-arraignment-state-charges/
1217188082	20241216	202412	2024	2024.9479	USACOP	UNITED STATES	USA					COP			COP	POLICE						COP			0	036	036	03	1	4.0	2	1	2	-1.20734908136483	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	20241223120000	https://www.masslive.com/politics/2024/12/mass-gov-healey-productive-2024-had-wins-work-yet-to-be-done-bay-state-briefing.html
1217188083	20241216	202412	2024	2024.9479	USAELI	UNITED STATES	USA					ELI			COP	POLICE						COP			0	036	036	03	1	4.0	2	1	2	-1.20734908136483	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	3	Worcester, Massachusetts, United States	US	USMA	MA027	42.2626	-71.8023	617867	20241223120000	https://www.masslive.com/politics/2024/12/mass-gov-healey-productive-2024-had-wins-work-yet-to-be-done-bay-state-briefing.html
1217188084	20241222	202412	2024	2024.9644	COP	POLICE						COP													1	173	173	17	4	-5.0	3	1	3	-5.88235294117647	4	Uttara, Rangpur, Bangladesh	BG	BG87	5818	25.5694	89.0408	11281553	0								4	Uttara, Rangpur, Bangladesh	BG	BG87	5818	25.5694	89.0408	11281553	20241223120000	https://www.thedailystar.net/news/bangladesh/news/dmp-arrests-93-suspected-muggers-24-hours-3782981
1217188085	20241222	202412	2024	2024.9644	COP	POLICE						COP			BGD	BANGLADESH	BGD								1	173	173	17	4	-5.0	2	1	2	-5.88235294117647	4	Uttara, Rangpur, Bangladesh	BG	BG87	5818	25.5694	89.0408	11281553	4	Uttara, Rangpur, Bangladesh	BG	BG87	5818	25.5694	89.0408	11281553	4	Uttara, Rangpur, Bangladesh	BG	BG87	5818	25.5694	89.0408	11281553	20241223120000	https://www.thedailystar.net/news/bangladesh/news/dmp-arrests-93-suspected-muggers-24-hours-3782981
1217188086	20241222	202412	2024	2024.9644	CRM	THIEVES						CRM													1	071	071	07	2	7.4	5	1	5	-5.43933054393306	4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	0								4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	20241223120000	https://www.thisdaylive.com/index.php/2024/12/23/iyn-powerful-oil-thieves-blackmailing-kyari-tompolo-otuaro/
1217188087	20241222	202412	2024	2024.9644	GOV	GOVERNMENT						GOV													0	010	010	01	1	0.0	3	1	3	-1.52733118971061	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20241223120000	https://www.courant.com/2024/12/23/shutdown-averted-whats-in-the-federal-funding-bill-for-ct/
1217188088	20241222	202412	2024	2024.9644	JAM	JAMAICA	JAM																		1	010	010	01	1	0.0	2	1	2	-6.90476190476191	4	Savanna-La-Mar, Westmoreland, Jamaica	JM	JM16	18433	18.2189	-78.1332	-3753680	0								4	Savanna-La-Mar, Westmoreland, Jamaica	JM	JM16	18433	18.2189	-78.1332	-3753680	20241223120000	https://www.jamaicaobserver.com/2024/12/23/construction-workers-mourn-passing-female-worker-mowed-traffic-cop/
1217188089	20241222	202412	2024	2024.9644	LBYGOV	LIBYAN	LBY					GOV			GOV	FOREIGN SECRETARY						GOV			1	025	025	02	1	-0.3	3	1	3	6.41509433962264	1	Libya	LY	LY		25	17	LY	1	Bangladesh	BG	BG		24	90	BG	1	Libya	LY	LY		25	17	LY	20241223120000	https://www.thedailystar.net/news/bangladesh/news/libya-keen-recruit-more-bangladeshi-professionals-skilled-workers-3782966
1217188090	20241222	202412	2024	2024.9644	USA	UNITED STATES	USA								GOV	GOVERNMENT						GOV			0	010	010	01	1	0.0	3	1	3	-1.52733118971061	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20241223120000	https://www.courant.com/2024/12/23/shutdown-averted-whats-in-the-federal-funding-bill-for-ct/
1217188091	20241223	202412	2024	2024.9671											AFR	AFRICA	AFR								1	014	014	01	1	0.0	10	1	10	5.90277777777778	0								1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20241223120000	https://www.thisdaylive.com/index.php/2024/12/23/global-investors-rally-behind-afro-film-fund-to-transform-african-storytelling/
1217188092	20241223	202412	2024	2024.9671											AFR	AFRICA	AFR								0	040	040	04	1	1.0	2	1	2	-2.14814814814815	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20241223120000	https://www.poynter.org/commentary/analysis/2024/bargaining-code-battle-shifts-to-european-copyright-law-taxes-also-under-consideration/
1217188093	20241223	202412	2024	2024.9671											AFR	AFRICA	AFR								0	040	040	04	1	1.0	8	1	8	-2.14814814814815	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20241223120000	https://www.poynter.org/commentary/analysis/2024/bargaining-code-battle-shifts-to-european-copyright-law-taxes-also-under-consideration/
1217188094	20241223	202412	2024	2024.9671											AFR	AFRICA	AFR								1	043	043	04	1	2.8	10	1	10	3.22981366459627	0								1	Tanzania	TZ	TZ		-6	35	TZ	1	Tanzania	TZ	TZ		-6	35	TZ	20241223120000	https://centraljersey.com/2024/12/20/david-eyre-steward/
1217188095	20241223	202412	2024	2024.9671											AGR	FARMER						AGR			0	020	020	02	1	3.0	8	1	8	-2.64423076923077	0								4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	20241223120000	https://indianexpress.com/article/cities/chandigarh/bjp-sunil-jakhar-dallewal-fast-farmer-leaders-politicians-9740592/
