1218703161	20240104	202401	2024	2024.0110											BGD	BANGLADESH	BGD								0	173	173	17	4	-5.0	4	1	4	-7.65306122448983	0								1	Bangladesh	BG	BG		24	90	BG	1	India	IN	IN		20	77	IN	20250103141500	https://www.oneindia.com/india/india-confirms-extradition-request-for-sheikh-hasina-from-bangladesh-external-affairs-ministery-con-011-4032659.html
1218703162	20240104	202401	2024	2024.0110	ETH	ETHIOPIA	ETH								MIL	NAVAL BASE						MIL			0	031	031	03	1	5.2	2	1	2	-0.44052863436123	4	Somaliland, Somalia (general), Somalia	SO	SO00	25720	9	46	11432102	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20250103141500	https://www.capitalfm.co.ke/news/2025/01/ethiopia-and-somalia-vow-to-strengthen-ties/
1218703163	20240104	202401	2024	2024.0110	LEG	PARLIAMENT						LEG			RUS	RUSSIAN	RUS								0	014	014	01	1	0.0	8	1	8	-3.93900889453622	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250103141500	https://www.nbcmiami.com/news/business/money-report/ukraines-halt-of-russian-gas-to-europe-throws-breakaway-moldovan-region-into-crisis-mode/3506369/
1218703164	20240104	202401	2024	2024.0110	LEG	PARLIAMENT						LEG			RUS	RUSSIAN	RUS								0	014	014	01	1	0.0	2	1	2	-3.93900889453622	4	Transnistria, Moldova (general), Moldova	MD	MD00	41182	47.3333	29.25	9009085	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Transnistria, Moldova (general), Moldova	MD	MD00	41182	47.3333	29.25	9009085	20250103141500	https://www.nbcmiami.com/news/business/money-report/ukraines-halt-of-russian-gas-to-europe-throws-breakaway-moldovan-region-into-crisis-mode/3506369/
1218703165	20240104	202401	2024	2024.0110	VENGOV	VENEZUELA	VEN					GOV			OPP	EXILED OPPOSITION						OPP			1	010	010	01	1	0.0	5	1	5	-3.6231884057971	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20250103141500	https://www.theepochtimes.com/world/venezuelan-government-offers-100000-reward-for-info-on-oppositions-presidential-candidate-5785599
1218703166	20240104	202401	2024	2024.0110	VENGOV	VENEZUELA	VEN					GOV			OPP	EXILED OPPOSITION						OPP			1	021	021	02	1	3.4	5	1	5	-3.6231884057971	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20250103141500	https://www.theepochtimes.com/world/venezuelan-government-offers-100000-reward-for-info-on-oppositions-presidential-candidate-5785599
1218703167	20241204	202412	2024	2024.9151											DZA	ALGERIA	DZA								1	040	040	04	1	1.0	2	1	2	-2.60736196319018	0								4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703168	20241204	202412	2024	2024.9151	DZA	ALGERIA	DZA																		1	040	040	04	1	1.0	2	1	2	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	0								4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703169	20241204	202412	2024	2024.9151	DZA	ALGERIA	DZA								RUS	RUSSIA	RUS								1	040	040	04	1	1.0	5	1	5	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703170	20241204	202412	2024	2024.9151	DZA	ALGERIA	DZA								RUS	RUSSIA	RUS								1	040	040	04	1	1.0	3	1	3	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703171	20241204	202412	2024	2024.9151	DZA	ALGERIA	DZA								RUS	RUSSIA	RUS								1	046	046	04	1	7.0	1	1	1	-2.60736196319018	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703172	20241204	202412	2024	2024.9151	DZA	ALGERIA	DZA								RUS	RUSSIA	RUS								1	046	046	04	1	7.0	3	1	3	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703173	20241204	202412	2024	2024.9151	DZA	ALGERIA	DZA								RUS	RUSSIA	RUS								1	046	046	04	1	7.0	2	1	2	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703174	20241204	202412	2024	2024.9151	DZA	ALGERIA	DZA								RUS	RUSSIA	RUS								1	046	046	04	1	7.0	2	1	2	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703175	20241204	202412	2024	2024.9151	EUR	EUROPE	EUR																		1	1724	172	17	4	-5.0	2	1	2	-3.93900889453622	4	Transnistria, Moldova (general), Moldova	MD	MD00	41182	47.3333	29.25	9009085	0								4	Transnistria, Moldova (general), Moldova	MD	MD00	41182	47.3333	29.25	9009085	20250103141500	https://www.nbcmiami.com/news/business/money-report/ukraines-halt-of-russian-gas-to-europe-throws-breakaway-moldovan-region-into-crisis-mode/3506369/
1218703176	20241204	202412	2024	2024.9151	EUR	EUROPE	EUR								RUS	RUSSIA	RUS								1	1724	172	17	4	-5.0	8	1	8	-3.93900889453622	4	Transnistria, Moldova (general), Moldova	MD	MD00	41182	47.3333	29.25	9009085	4	Transnistria, Moldova (general), Moldova	MD	MD00	41182	47.3333	29.25	9009085	4	Transnistria, Moldova (general), Moldova	MD	MD00	41182	47.3333	29.25	9009085	20250103141500	https://www.nbcmiami.com/news/business/money-report/ukraines-halt-of-russian-gas-to-europe-throws-breakaway-moldovan-region-into-crisis-mode/3506369/
1218703177	20241204	202412	2024	2024.9151	RUS	RUSSIA	RUS								DZA	ALGERIA	DZA								1	040	040	04	1	1.0	5	1	5	-2.60736196319018	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703178	20241204	202412	2024	2024.9151	RUS	RUSSIA	RUS								DZA	ALGERIA	DZA								1	040	040	04	1	1.0	3	1	3	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703179	20241204	202412	2024	2024.9151	RUS	RUSSIA	RUS								DZA	ALGERIA	DZA								1	046	046	04	1	7.0	5	1	5	-2.60736196319018	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703180	20241204	202412	2024	2024.9151	RUS	RUSSIA	RUS								DZA	ALGERIA	DZA								1	046	046	04	1	7.0	3	1	3	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703181	20241204	202412	2024	2024.9151	USA	UNITED STATES	USA																		0	081	081	08	2	5.0	8	1	8	-5.19750519750519	3	Jackson County, Kansas, United States	US	USKS	KS085	39.4	-95.8336	485007	0								3	Jackson County, Kansas, United States	US	USKS		39.4	-95.8336	485007	20250103141500	https://www.roscommonherald.ie/tipperary-man-shot-dead-in-kansas-city-to-be-laid-to-rest-in-his-native-nenagh-on-saturday_arid-43133.html
1218703182	20241204	202412	2024	2024.9151	USA	UNITED STATES	USA																		0	173	173	17	4	-5.0	8	1	8	-5.19750519750519	3	Jackson County, Kansas, United States	US	USKS	KS085	39.4	-95.8336	485007	0								3	Jackson County, Kansas, United States	US	USKS		39.4	-95.8336	485007	20250103141500	https://www.roscommonherald.ie/tipperary-man-shot-dead-in-kansas-city-to-be-laid-to-rest-in-his-native-nenagh-on-saturday_arid-43133.html
1218703183	20241204	202412	2024	2024.9151	USA	UNITED STATES	USA																		0	193	193	19	4	-10.0	2	1	2	-5.19750519750519	3	Jackson County, Kansas, United States	US	USKS	KS085	39.4	-95.8336	485007	0								4	Nenagh, North Tipperary, Ireland	EI	EI38	18305	52.8619	-8.19667	-1504831	20250103141500	https://www.roscommonherald.ie/tipperary-man-shot-dead-in-kansas-city-to-be-laid-to-rest-in-his-native-nenagh-on-saturday_arid-43133.html
