1216358275	20231219	202312	2023	2023.9562	BUS	COMPANY						BUS													0	015	015	01	1	0.0	10	1	10	1.30548302872062	4	Kolhapur, Maharashtra, India	IN	IN16	17769	16.7	74.2167	-2101279	0								4	Kolhapur, Maharashtra, India	IN	IN16	17769	16.7	74.2167	-2101279	20241218140000	https://aninews.in/news/business/popular-dog-breeders-premium-pet-house-and-bestforpets-part-ways20241218191039/
1216358276	20231219	202312	2023	2023.9562	BUS	COMPANY						BUS													0	070	070	07	2	7.0	10	1	10	1.30548302872062	4	Kolhapur, Maharashtra, India	IN	IN16	17769	16.7	74.2167	-2101279	0								4	Kolhapur, Maharashtra, India	IN	IN16	17769	16.7	74.2167	-2101279	20241218140000	https://aninews.in/news/business/popular-dog-breeders-premium-pet-house-and-bestforpets-part-ways20241218191039/
1216358277	20231219	202312	2023	2023.9562	CHN	CHINESE	CHN																		1	017	017	01	1	0.0	10	1	10	3.82775119617225	4	Ladakh, Jammu and Kashmir, India	IN	IN12	72785	34.5	77.5	-2102224	0								4	Ladakh, Jammu and Kashmir, India	IN	IN12	72785	34.5	77.5	-2102224	20241218140000	https://www.thestatesman.com/india/nsa-doval-in-beijing-for-talks-on-boundary-issue-2-1503377223.html
1216358278	20231219	202312	2023	2023.9562	CHN	CHINA	CHN								GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	2	1	2	-3.33333333333334	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20241218140000	https://www.devdiscourse.com/article/headlines/3198889-sri-lanka-reviews-1-billion-adani-group-deals-amid-controversy
1216358279	20231219	202312	2023	2023.9562	CHN	CHINA	CHN								GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	8	1	8	-3.33333333333334	1	China	CH	CH		35	105	CH	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	1	China	CH	CH		35	105	CH	20241218140000	https://www.devdiscourse.com/article/headlines/3198889-sri-lanka-reviews-1-billion-adani-group-deals-amid-controversy
1216358280	20231219	202312	2023	2023.9562	EDU	STUDENT						EDU													0	013	013	01	1	0.4	5	1	5	-0.12484394506866	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20241218140000	https://www.nola.com/news/education/25-of-la-third-graders-score-below-state-reading-targets/article_f3d7d386-bc86-11ef-8721-2f7d35562393.html
1216358281	20231219	202312	2023	2023.9562	ELI	RETIRED						ELI			ELICVL	RETIRED						ELI	CVL		1	036	036	03	1	4.0	5	1	5	0.85616438356164	0								0								0								20241218140000	https://www.bristolpost.co.uk/news/m5-split-level-viaduct-continues-9801504
1216358282	20231219	202312	2023	2023.9562	ELI	RETIRED						ELI			ELICVL	RETIRED						ELI	CVL		1	070	070	07	2	7.0	5	1	5	0.85616438356164	0								0								0								20241218140000	https://www.bristolpost.co.uk/news/m5-split-level-viaduct-continues-9801504
1216358283	20231219	202312	2023	2023.9562	GOV	PRESIDENT						GOV			CHN	CHINA	CHN								1	036	036	03	1	4.0	2	1	2	-3.33333333333334	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20241218140000	https://www.devdiscourse.com/article/headlines/3198889-sri-lanka-reviews-1-billion-adani-group-deals-amid-controversy
1216358284	20231219	202312	2023	2023.9562	GOV	PRESIDENT						GOV			CHN	CHINA	CHN								1	036	036	03	1	4.0	8	1	8	-3.33333333333334	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20241218140000	https://www.devdiscourse.com/article/headlines/3198889-sri-lanka-reviews-1-billion-adani-group-deals-amid-controversy
1216358285	20231219	202312	2023	2023.9562	LEG	LAWMAKER						LEG													1	120	120	12	3	-4.0	2	1	2	-4.17422867513612	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20241218140000	https://yle.fi/a/74-20132329
1216358286	20231219	202312	2023	2023.9562	LEG	LAWMAKER						LEG													1	120	120	12	3	-4.0	8	1	8	-4.17422867513612	1	Finland	FI	FI		64	26	FI	0								1	Finland	FI	FI		64	26	FI	20241218140000	https://yle.fi/a/74-20132329
