1217195197	20231224	202312	2023	2023.9699	GBR	UNITED KINGDOM	GBR																		0	030	030	03	1	4.0	2	1	2	1.66453265044815	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20241223124500	https://www.thetimes.com/business-money/companies/article/wingstop-uk-founders-in-line-for-fortune-from-sale-400m-22gwf99kr
1217195198	20231224	202312	2023	2023.9699	OPP	PRISONER						OPP													0	173	173	17	4	-5.0	2	1	2	-7.07338638373121	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20241223124500	https://www.perthnow.com.au/news/world/bali-bomb-conspirators-broken-by-torture-face-intense-surveillance-in-malaysia-guantanamo-lawyer-says-c-17148605
1217195199	20231224	202312	2023	2023.9699	OPP	PRISONER						OPP													0	173	173	17	4	-5.0	3	1	3	-7.07338638373121	4	Bali, Perak, Malaysia	MY	MY07	18585	4.3927	101.005	10965364	0								4	Bali, Perak, Malaysia	MY	MY07	18585	4.3927	101.005	10965364	20241223124500	https://www.perthnow.com.au/news/world/bali-bomb-conspirators-broken-by-torture-face-intense-surveillance-in-malaysia-guantanamo-lawyer-says-c-17148605
1217195200	20231224	202312	2023	2023.9699	USA	UNITED STATES	USA																		0	030	030	03	1	4.0	1	1	1	1.08616944243302	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20241223124500	https://www.publicnewsservice.org/2024-12-23/hunger-food-nutrition/hunger-concerns-on-wa-postsecondary-campuses-as-holidays-approach/a93970-1
1217195201	20231224	202312	2023	2023.9699	USA	UNITED STATES	USA																		0	071	071	07	2	7.4	1	1	1	1.08616944243302	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20241223124500	https://www.publicnewsservice.org/2024-12-23/hunger-food-nutrition/hunger-concerns-on-wa-postsecondary-campuses-as-holidays-approach/a93970-1
1217195202	20231224	202312	2023	2023.9699	mal	MALAYALAM			mal																1	193	193	19	4	-10.0	10	1	10	1.36268343815513	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20241223124500	https://indianexpress.com/article/india/madhya-pradesh-tinseltown-filmmaker-jabalpur-9740754/
1217195203	20241123	202411	2024	2024.8849	DEU	GERMANY	DEU								DEUGOV	GERMANY	DEU					GOV			1	111	111	11	3	-2.0	1	1	1	-6.6914498141264	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20241223124500	https://www.bignewsnetwork.com/news/274876785/nato-boss-reveals-warning-to-zelensky---media
1217195204	20241123	202411	2024	2024.8849	DEU	GERMANY	DEU								RUS	MOSCOW	RUS								1	114	114	11	3	-2.0	1	1	1	-6.6914498141264	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20241223124500	https://www.bignewsnetwork.com/news/274876785/nato-boss-reveals-warning-to-zelensky---media
1217195205	20241123	202411	2024	2024.8849	DEUGOV	GERMANY	DEU					GOV			RUS	MOSCOW	RUS								1	114	114	11	3	-2.0	2	1	2	-6.6914498141264	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20241223124500	https://www.bignewsnetwork.com/news/274876785/nato-boss-reveals-warning-to-zelensky---media
1217195206	20241123	202411	2024	2024.8849	MED	MEDIA						MED			GOV	REGIME						GOV			1	075	075	07	2	7.0	6	1	6	-1.417004048583	1	Syria	SY	SY		35	38	SY	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20241223124500	https://www.aol.co.uk/news/amsa-al-assad-cannot-allowed-121709530.html
