1214751561	20231211	202312	2023	2023.9342	GOV	ATTORNEY GENERAL						GOV			CRM	PIRATE						CRM			1	1712	171	17	4	-9.2	4	1	4	-3.10077519379849	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20241210101500	https://legalnewsline.com/stories/666808208-attorney-general-offers-tips-against-package-theft-during-holidays
1214751562	20231211	202312	2023	2023.9342	GOV	PRIME MINISTER						GOV			ISR	ISRAEL	ISR								1	040	040	04	1	1.0	1	1	1	0.29821073558648	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	1	Iran	IR	IR		32	53	IR	20241210101500	https://www.clevelandjewishnews.com/jns/wilders-netanyahu-has-done-more-to-combat-terror-since-oct-7-than-europe-in-seven/article_4c2b5916-0060-583c-b983-ed37e5dfc843.html
1214751563	20231211	202312	2023	2023.9342	ISR	ISRAEL	ISR								GOV	PRIME MINISTER						GOV			1	040	040	04	1	1.0	1	1	1	0.29821073558648	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	1	Iran	IR	IR		32	53	IR	20241210101500	https://www.clevelandjewishnews.com/jns/wilders-netanyahu-has-done-more-to-combat-terror-since-oct-7-than-europe-in-seven/article_4c2b5916-0060-583c-b983-ed37e5dfc843.html
1214751564	20231211	202312	2023	2023.9342	USAGOV	UNITED STATES	USA					GOV			CRM	PIRATE						CRM			1	1712	171	17	4	-9.2	1	1	1	-3.10077519379849	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20241210101500	https://legalnewsline.com/stories/666808208-attorney-general-offers-tips-against-package-theft-during-holidays
1214751565	20241110	202411	2024	2024.8493											IGOEUREEC	EUROPEAN PARLIAMENT	EUR	EEC				IGO			1	043	043	04	1	2.8	3	1	3	5.20094562647754	0								4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	20241210101500	https://www.independent.ie/regionals/kerry/south-kerry-news/kerry-student-on-winning-trip-to-europe-parliament-it-was-utterly-unforgettable/a413338140.html
1214751566	20241110	202411	2024	2024.8493	COP	POLICE						COP			MED	MEDIA						MED			0	042	042	04	1	1.9	3	1	3	0.29821073558648	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20241210101500	https://www.clevelandjewishnews.com/jns/wilders-netanyahu-has-done-more-to-combat-terror-since-oct-7-than-europe-in-seven/article_4c2b5916-0060-583c-b983-ed37e5dfc843.html
1214751567	20241110	202411	2024	2024.8493	EDU	STUDENT						EDU			IGOEUREEC	EUROPEAN PARLIAMENT	EUR	EEC				IGO			1	043	043	04	1	2.8	3	1	3	5.20094562647754	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	20241210101500	https://www.independent.ie/regionals/kerry/south-kerry-news/kerry-student-on-winning-trip-to-europe-parliament-it-was-utterly-unforgettable/a413338140.html
1214751568	20241110	202411	2024	2024.8493	IGOEUREEC	EUROPEAN PARLIAMENT	EUR	EEC				IGO													1	042	042	04	1	1.9	3	1	3	5.20094562647754	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	0								4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	20241210101500	https://www.independent.ie/regionals/kerry/south-kerry-news/kerry-student-on-winning-trip-to-europe-parliament-it-was-utterly-unforgettable/a413338140.html
1214751569	20241110	202411	2024	2024.8493	IGOEUREEC	EUROPEAN PARLIAMENT	EUR	EEC				IGO			EDU	STUDENT						EDU			1	042	042	04	1	1.9	3	1	3	5.20094562647754	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	20241210101500	https://www.independent.ie/regionals/kerry/south-kerry-news/kerry-student-on-winning-trip-to-europe-parliament-it-was-utterly-unforgettable/a413338140.html
1214751570	20241110	202411	2024	2024.8493	IGOEUREEC	EUROPEAN PARLIAMENT	EUR	EEC				IGO			IRL	IRELAND	IRL								1	042	042	04	1	1.9	4	1	4	5.20094562647754	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	4	Rathmore, South Tipperary, Ireland	EI	EI40	18305	52.3792	-7.85861	356344	20241210101500	https://www.independent.ie/regionals/kerry/south-kerry-news/kerry-student-on-winning-trip-to-europe-parliament-it-was-utterly-unforgettable/a413338140.html
